delay,ptu_ebay_cmd,ptu_d48_cmd
122.9,ps-21,
123.0,ps-20,
123.1,ps-19,
123.2,ps-18,
123.3,ps-17,
123.4,ps-16,
123.5,ps-15,
123.6,ps-14,
123.7,ps-13,
123.8,ps-12,
123.9,ps-11,
124.0,ps-10,
124.1,ps-9,
124.2,ps-8,
124.3,ps-7,
124.4,ps-6,
124.5,ps-5,
124.6,ps-4,
124.7,ps-3,
124.8,ps-2,
124.9,ps-1,
126.0,ps0,sd
