cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
953,100.1,ps88,
954,100.2,ps89,
955,100.3,ps90,
956,100.4,ps90,
957,100.5,ps91,
958,100.6,ps92,
959,100.7,ps93,
960,100.8,ps94,
961,100.9,ps94,
962,101.0,ps95,
963,101.1,ps96,
964,101.2,ps96,
965,101.3,ps97,
966,101.4,ps97,
967,101.5,ps98,
968,101.6,ps98,
969,101.7,ps99,
970,101.8,ps99,
971,101.9,ps99,
972,102.0,ps99,
973,102.1,ps100,
974,102.2,ps100,
975,102.3,ps100,
976,102.4,ps100,
977,102.5,ps100,
978,102.6,ps100,
979,102.7,ps100,
980,102.8,ps100,
981,102.9,ps100,
982,103.0,ps99,
983,103.1,ps99,
984,103.2,ps99,
985,103.3,ps99,
986,103.4,ps98,
987,103.5,ps98,
988,103.6,ps97,
989,103.7,ps97,
990,103.8,ps96,
991,103.9,ps96,
992,104.0,ps95,
993,104.1,ps94,
994,104.2,ps94,
995,104.3,ps93,
996,104.4,ps92,
997,104.5,ps91,
998,104.6,ps90,
999,104.7,ps90,
1000,104.8,ps89,
1001,104.9,ps88,
1002,105.0,ps87,
1003,105.1,ps86,
1004,105.2,ps84,
1005,105.3,ps83,
1006,105.4,ps82,
1007,105.5,ps81,
1008,105.6,ps80,
1009,105.7,ps78,
1010,105.8,ps77,
1011,105.9,ps76,
1012,106.0,ps74,
1013,106.1,ps73,
1014,106.2,ps71,
1015,106.3,ps70,
1016,106.4,ps68,
1017,106.5,ps67,
1018,106.6,ps65,
1019,106.7,ps64,
1020,106.8,ps62,
1021,106.9,ps60,
1022,107.0,ps59,
1023,107.1,ps57,
1024,107.2,ps55,
1025,107.3,ps54,
1026,107.4,ps52,
1027,107.5,ps50,
1028,107.6,ps48,
1029,107.7,ps46,
1030,107.8,ps44,
1031,107.9,ps43,
1032,108.0,ps41,
1033,108.1,ps39,
1034,108.2,ps37,
1035,108.3,ps35,
1036,108.4,ps33,
1037,108.5,ps31,
1038,108.6,ps29,
1039,108.7,ps27,
1040,108.8,ps25,
1041,108.9,ps23,
1042,109.0,ps21,
1043,109.1,ps19,
1044,109.2,ps17,
1045,109.3,ps15,
1046,109.4,ps13,
1047,109.5,ps10,
1048,109.6,ps8,
1049,109.7,ps6,
1050,109.8,ps4,
1051,109.9,ps2,
1052,110.0,ps0,
1053,110.1,ps-2,
1054,110.2,ps-4,
1055,110.3,ps-6,
1056,110.4,ps-8,
1057,110.5,ps-10,
1058,110.6,ps-13,
1059,110.7,ps-15,
1060,110.8,ps-17,
1061,110.9,ps-19,
1062,111.0,ps-21,
1063,111.1,ps-23,
1064,111.2,ps-25,
1065,111.3,ps-27,
