delay,ptu_ebay_cmd,ptu_d48_cmd
83.5,ps-82,
83.6,ps-83,
83.7,ps-83,
83.8,ps-83,
83.9,ps-84,
84.0,ps-84,
84.1,ps-84,
84.2,ps-84,
84.3,ps-85,
84.4,ps-85,
84.5,ps-85,
84.6,ps-86,
84.7,ps-86,
84.8,ps-86,
84.9,ps-86,
85.0,ps-87,
85.1,ps-87,
85.2,ps-87,
85.3,ps-87,
85.4,ps-88,
85.5,ps-88,
85.6,ps-88,
85.7,ps-88,
85.8,ps-89,
85.9,ps-89,
86.0,ps-89,
86.1,ps-89,
86.2,ps-90,
86.3,ps-90,
86.4,ps-90,
86.5,ps-90,
86.6,ps-90,
86.7,ps-91,
86.8,ps-91,
86.9,ps-91,
87.0,ps-91,
87.1,ps-92,
87.2,ps-92,
87.3,ps-92,
87.4,ps-92,
87.5,ps-92,
87.6,ps-93,
87.7,ps-93,
87.8,ps-93,
87.9,ps-93,
88.0,ps-93,
88.1,ps-94,
88.2,ps-94,
88.3,ps-94,
88.4,ps-94,
88.5,ps-94,
88.6,ps-94,
88.7,ps-95,
88.8,ps-95,
88.9,ps-95,
89.0,ps-95,
89.1,ps-95,
89.2,ps-95,
89.3,ps-96,
89.4,ps-96,
89.5,ps-96,
89.6,ps-96,
89.7,ps-96,
89.8,ps-96,
89.9,ps-96,
90.0,ps-97,
90.1,ps-97,
90.2,ps-97,
90.3,ps-97,
90.4,ps-97,
90.5,ps-97,
90.6,ps-97,
90.7,ps-97,
90.8,ps-98,
90.9,ps-98,
91.0,ps-98,
91.1,ps-98,
91.2,ps-98,
91.3,ps-98,
91.4,ps-98,
91.5,ps-98,
91.6,ps-98,
91.7,ps-99,
91.8,ps-99,
91.9,ps-99,
92.0,ps-99,
92.1,ps-99,
92.2,ps-99,
92.3,ps-99,
92.4,ps-99,
92.5,ps-99,
92.6,ps-99,
92.7,ps-99,
92.8,ps-99,
92.9,ps-99,
93.0,ps-99,
93.1,ps-100,
93.2,ps-100,
93.3,ps-100,
93.4,ps-100,
93.5,ps-100,
93.6,ps-100,
93.7,ps-100,
93.8,ps-100,
93.9,ps-100,
94.0,ps-100,
94.1,ps-100,
94.2,ps-100,
94.3,ps-100,
94.4,ps-100,
94.5,ps-100,
94.6,ps-100,
94.7,ps-100,
94.8,ps-100,
94.9,ps-100,
95.0,ps-100,
95.1,ps-100,
95.2,ps-100,
95.3,ps-100,
95.4,ps-100,
95.5,ps-100,
95.6,ps-100,
95.7,ps-100,
95.8,ps-100,
95.9,ps-100,
96.0,ps-100,
96.1,ps-100,
96.2,ps-100,
96.3,ps-100,
96.4,ps-100,
96.5,ps-100,
96.6,ps-100,
96.7,ps-100,
96.8,ps-100,
96.9,ps-100,
97.0,ps-99,
97.1,ps-99,
97.2,ps-99,
97.3,ps-99,
97.4,ps-99,
97.5,ps-99,
97.6,ps-99,
97.7,ps-99,
97.8,ps-99,
97.9,ps-99,
98.0,ps-99,
98.1,ps-99,
98.2,ps-99,
98.3,ps-99,
98.4,ps-98,
98.5,ps-98,
98.6,ps-98,
98.7,ps-98,
98.8,ps-98,
98.9,ps-98,
99.0,ps-98,
99.1,ps-98,
99.2,ps-98,
99.3,ps-97,
99.4,ps-97,
99.5,ps-97,
99.6,ps-97,
99.7,ps-97,
99.8,ps-97,
99.9,ps-97,
100.0,ps-97,
100.1,ps-96,
100.2,ps-96,
100.3,ps-96,
100.4,ps-96,
100.5,ps-96,
100.6,ps-96,
100.7,ps-96,
100.8,ps-95,
100.9,ps-95,
101.0,ps-95,
101.1,ps-95,
101.2,ps-95,
101.3,ps-95,
101.4,ps-94,
101.5,ps-94,
101.6,ps-94,
101.7,ps-94,
101.8,ps-94,
101.9,ps-94,
102.0,ps-93,
102.1,ps-93,
102.2,ps-93,
102.3,ps-93,
102.4,ps-93,
102.5,ps-92,
102.6,ps-92,
102.7,ps-92,
102.8,ps-92,
102.9,ps-92,
103.0,ps-91,
103.1,ps-91,
103.2,ps-91,
103.3,ps-91,
103.4,ps-90,
103.5,ps-90,
103.6,ps-90,
103.7,ps-90,
103.8,ps-90,
103.9,ps-89,
104.0,ps-89,
104.1,ps-89,
104.2,ps-89,
104.3,ps-88,
104.4,ps-88,
104.5,ps-88,
104.6,ps-88,
104.7,ps-87,
104.8,ps-87,
104.9,ps-87,
105.0,ps-87,
105.1,ps-86,
105.2,ps-86,
105.3,ps-86,
105.4,ps-86,
105.5,ps-85,
105.6,ps-85,
105.7,ps-85,
105.8,ps-84,
105.9,ps-84,
106.0,ps-84,
106.1,ps-84,
106.2,ps-83,
106.3,ps-83,
106.4,ps-83,
106.5,ps-82,
106.6,ps-82,
106.7,ps-82,
106.8,ps-82,
106.9,ps-81,
107.0,ps-81,
107.1,ps-81,
107.2,ps-80,
107.3,ps-80,
107.4,ps-80,
107.5,ps-79,
107.6,ps-79,
107.7,ps-79,
107.8,ps-78,
107.9,ps-78,
108.0,ps-78,
108.1,ps-77,
108.2,ps-77,
108.3,ps-77,
108.4,ps-76,
108.5,ps-76,
108.6,ps-76,
108.7,ps-75,
108.8,ps-75,
108.9,ps-75,
109.0,ps-74,
109.1,ps-74,
109.2,ps-74,
109.3,ps-73,
109.4,ps-73,
109.5,ps-73,
109.6,ps-72,
109.7,ps-72,
109.8,ps-71,
109.9,ps-71,
110.0,ps-71,
110.1,ps-70,
110.2,ps-70,
110.3,ps-70,
110.4,ps-69,
110.5,ps-69,
110.6,ps-68,
110.7,ps-68,
110.8,ps-68,
110.9,ps-67,
111.0,ps-67,
111.1,ps-67,
111.2,ps-66,
111.3,ps-66,
111.4,ps-65,
111.5,ps-65,
111.6,ps-65,
111.7,ps-64,
111.8,ps-64,
111.9,ps-63,
112.0,ps-63,
112.1,ps-63,
112.2,ps-62,
112.3,ps-62,
112.4,ps-61,
112.5,ps-61,
112.6,ps-60,
112.7,ps-60,
112.8,ps-60,
112.9,ps-59,
113.0,ps-59,
113.1,ps-58,
113.2,ps-58,
113.3,ps-58,
113.4,ps-57,
113.5,ps-57,
113.6,ps-56,
113.7,ps-56,
113.8,ps-55,
113.9,ps-55,
114.0,ps-54,
114.1,ps-54,
114.2,ps-54,
114.3,ps-53,
114.4,ps-53,
114.5,ps-52,
114.6,ps-52,
114.7,ps-51,
114.8,ps-51,
114.9,ps-50,
115.0,ps-50,
115.1,ps-50,
115.2,ps-49,
115.3,ps-49,
115.4,ps-48,
115.5,ps-48,
115.6,ps-47,
115.7,ps-47,
115.8,ps-46,
115.9,ps-46,
116.0,ps-45,
116.1,ps-45,
116.2,ps-44,
116.3,ps-44,
116.4,ps-44,
116.5,ps-43,
116.6,ps-43,
116.7,ps-42,
116.8,ps-42,
116.9,ps-41,
117.0,ps-41,
117.1,ps-40,
117.2,ps-40,
117.3,ps-39,
117.4,ps-39,
117.5,ps-38,
117.6,ps-38,
117.7,ps-37,
117.8,ps-37,
117.9,ps-36,
