delay,ptu_ebay_cmd,ptu_d48_cmd
108.3,ps-38,ps38
108.4,ps-38,ps38
108.5,ps-38,ps38
108.6,ps-38,ps38
108.7,ps-38,ps38
108.8,ps-38,ps38
108.9,ps-37,ps37
109.0,ps-37,ps37
109.1,ps-37,ps37
109.2,ps-37,ps37
109.3,ps-37,ps37
109.4,ps-36,ps36
109.5,ps-36,ps36
109.6,ps-36,ps36
109.7,ps-36,ps36
109.8,ps-36,ps36
109.9,ps-36,ps36
110.0,ps-35,ps35
110.1,ps-35,ps35
110.2,ps-35,ps35
110.3,ps-35,ps35
110.4,ps-35,ps35
110.5,ps-34,ps34
110.6,ps-34,ps34
110.7,ps-34,ps34
110.8,ps-34,ps34
110.9,ps-34,ps34
111.0,ps-33,ps33
111.1,ps-33,ps33
111.2,ps-33,ps33
111.3,ps-33,ps33
111.4,ps-33,ps33
111.5,ps-32,ps32
111.6,ps-32,ps32
111.7,ps-32,ps32
111.8,ps-32,ps32
111.9,ps-32,ps32
112.0,ps-31,ps31
112.1,ps-31,ps31
112.2,ps-31,ps31
112.3,ps-31,ps31
112.4,ps-31,ps31
112.5,ps-30,ps30
112.6,ps-30,ps30
112.7,ps-30,ps30
112.8,ps-30,ps30
112.9,ps-30,ps30
113.0,ps-29,ps29
113.1,ps-29,ps29
113.2,ps-29,ps29
113.3,ps-29,ps29
113.4,ps-29,ps29
113.5,ps-28,ps28
113.6,ps-28,ps28
113.7,ps-28,ps28
113.8,ps-28,ps28
113.9,ps-27,ps27
114.0,ps-27,ps27
114.1,ps-27,ps27
114.2,ps-27,ps27
114.3,ps-27,ps27
114.4,ps-26,ps26
114.5,ps-26,ps26
114.6,ps-26,ps26
114.7,ps-26,ps26
114.8,ps-25,ps25
114.9,ps-25,ps25
115.0,ps-25,ps25
115.1,ps-25,ps25
115.2,ps-25,ps25
115.3,ps-24,ps24
115.4,ps-24,ps24
115.5,ps-24,ps24
115.6,ps-24,ps24
115.7,ps-23,ps23
115.8,ps-23,ps23
115.9,ps-23,ps23
116.0,ps-23,ps23
116.1,ps-22,ps22
116.2,ps-22,ps22
116.3,ps-22,ps22
116.4,ps-22,ps22
116.5,ps-22,ps22
116.6,ps-21,ps21
116.7,ps-21,ps21
116.8,ps-21,ps21
116.9,ps-21,ps21
117.0,ps-20,ps20
117.1,ps-20,ps20
117.2,ps-20,ps20
117.3,ps-20,ps20
117.4,ps-19,ps19
117.5,ps-19,ps19
117.6,ps-19,ps19
117.7,ps-19,ps19
117.8,ps-18,ps18
117.9,ps-18,ps18
118.0,ps-18,ps18
118.1,ps-18,ps18
118.2,ps-17,ps17
118.3,ps-17,ps17
118.4,ps-17,ps17
118.5,ps-17,ps17
118.6,ps-16,ps16
118.7,ps-16,ps16
118.8,ps-16,ps16
118.9,ps-16,ps16
119.0,ps-15,ps15
119.1,ps-15,ps15
119.2,ps-15,ps15
119.3,ps-15,ps15
119.4,ps-14,ps14
119.5,ps-14,ps14
119.6,ps-14,ps14
119.7,ps-14,ps14
119.8,ps-13,ps13
119.9,ps-13,ps13
120.0,ps-13,ps13
120.1,ps-13,ps13
120.2,ps-12,ps12
120.3,ps-12,ps12
120.4,ps-12,ps12
120.5,ps-12,ps12
120.6,ps-11,ps11
120.7,ps-11,ps11
120.8,ps-11,ps11
120.9,ps-11,ps11
121.0,ps-10,ps10
121.1,ps-10,ps10
121.2,ps-10,ps10
121.3,ps-10,ps10
121.4,ps-9,ps9
121.5,ps-9,ps9
121.6,ps-9,ps9
121.7,ps-9,ps9
121.8,ps-8,ps8
121.9,ps-8,ps8
122.0,ps-8,ps8
122.1,ps-8,ps8
122.2,ps-7,ps7
122.3,ps-7,ps7
122.4,ps-7,ps7
122.5,ps-7,ps7
122.6,ps-6,ps6
122.7,ps-6,ps6
122.8,ps-6,ps6
122.9,ps-5,ps5
123.0,ps-5,ps5
123.1,ps-5,ps5
123.2,ps-5,ps5
123.3,ps-4,ps4
123.4,ps-4,ps4
123.5,ps-4,ps4
123.6,ps-4,ps4
123.7,ps-3,ps3
123.8,ps-3,ps3
123.9,ps-3,ps3
124.0,ps-3,ps3
124.1,ps-2,ps2
124.2,ps-2,ps2
124.3,ps-2,ps2
124.4,ps-2,ps2
124.5,ps-1,ps1
124.6,ps-1,ps1
124.7,ps-1,ps1
124.8,ps-1,ps1
124.9,ps0,ps0
126.0,ps0,ps0
